floorspaceid,collecteddate,occupied_now,occupied_lag1,rolling_mean_1h,hour_sin,hour_cos,dow_sin,dow_cos,is_weekend,target,predicted_proba
cca1ac3e-f81f-4ebb-aa2b-8b0bf3e9e53b,2025-10-15 20:15:00+11:00,0.0,0.0,0.5,-0.8314696123025455,0.5555702330196018,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.26113647511006255
0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,2025-10-27 01:15:00+11:00,0.0,0.0,0.0,0.3214394653031616,0.9469301294951057,0.0,1.0,0.0,0.0,0.0549141469325773
227f1068-9e41-469f-bef0-275f27a0bdba,2025-11-06 13:15:00+11:00,0.0,0.0,0.0,-0.32143946530316153,-0.9469301294951057,0.43388373911755823,-0.900968867902419,0.0,1.0,0.2077969922027039
227f1068-9e41-469f-bef0-275f27a0bdba,2025-11-17 14:30:00+11:00,0.0,0.0,0.0,-0.6087614290087207,-0.7933533402912352,0.0,1.0,0.0,0.0,0.20297073215758196
0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,2025-11-29 08:00:00+11:00,0.0,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.0858987307436358
227f1068-9e41-469f-bef0-275f27a0bdba,2025-12-10 23:15:00+11:00,0.0,0.0,0.0,-0.19509032201612872,0.9807852804032303,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.06305935648594116
227f1068-9e41-469f-bef0-275f27a0bdba,2025-12-27 02:30:00+11:00,0.0,0.0,0.0,0.6087614290087207,0.7933533402912352,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.0391597614404427
0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,2026-01-15 14:45:00+11:00,1.0,1.0,0.75,-0.6593458151000688,-0.7518398074789774,0.43388373911755823,-0.900968867902419,0.0,1.0,0.8653114190401197
941f0352-bb69-47d0-a9c5-ac29eb4f7319,2026-01-29 10:00:00+11:00,1.0,1.0,1.0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,0.0,1.0,0.9059323473157835
941f0352-bb69-47d0-a9c5-ac29eb4f7319,2026-02-10 20:30:00+11:00,0.0,0.0,0.0,-0.7933533402912357,0.6087614290087199,0.7818314824680298,0.6234898018587336,0.0,0.0,0.08996538042469546
227f1068-9e41-469f-bef0-275f27a0bdba,2026-02-21 19:00:00+11:00,0.0,0.0,0.0,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.08077729835425819
941f0352-bb69-47d0-a9c5-ac29eb4f7319,2026-03-05 10:30:00+11:00,1.0,1.0,0.75,0.3826834323650899,-0.9238795325112867,0.43388373911755823,-0.900968867902419,0.0,1.0,0.8467264644673953
941f0352-bb69-47d0-a9c5-ac29eb4f7319,2026-03-17 00:30:00+11:00,0.0,0.0,0.0,0.13052619222005157,0.9914448613738104,0.7818314824680298,0.6234898018587336,0.0,0.0,0.05658797421958241
941f0352-bb69-47d0-a9c5-ac29eb4f7319,2026-03-27 12:15:00+11:00,1.0,1.0,1.0,-0.06540312923014287,-0.9978589232386035,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.9211663628563237
0f3f37f8-0335-41e0-ae87-a1d677dfc7d7,2026-04-11 12:30:00+10:00,0.0,0.0,0.0,-0.13052619222005177,-0.9914448613738104,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.14552138637819947
